,parameter_id,smiles,mw
0,t114,C=[S+]C1CCCNC1,130.232264
1,t114,[SH+]=CC1CCCNC1,130.232264
2,t114,C=[SH]C1CCCNC1,131.240211
3,t114,[SH2]=CC1CCCCC1,130.252218
4,t114,C=[S+]C1CCCCC1,129.244271
5,t114,C=[SH]C1CCCCC1,130.252218
6,t114,[SH+]=CC1CCCCC1,129.244271
7,t114,[SH2]=CC1CCCN1,117.213537
8,t114,[SH+]=CC1CCCN1,116.20559
9,t114,C=[S+]C1CCCN1,116.20559
10,t114,C=[SH]C1CCCN1,117.213537
11,t114,[SH+]=CC1CCOC1,117.190353
12,t114,[SH2]=CC1CCOC1,118.1983
13,t114,C=[SH]C1CCOC1,118.1983
14,t114,C=[S+]C1CCOC1,117.190353
15,t114,C=[SH]C1OCCCO1,134.19773
16,t114,[SH2]=CC1OCCCO1,134.19773
17,t114,C=[S+]C1OCCCO1,133.189783
18,t114,[SH+]=CC1OCCCO1,133.189783
19,t114,[H][S+]=CC1CNC1,102.178916
20,t114,[SH+]=CC1CNC1,102.178916
21,t114,O=[SH2]=CC1CNC1,119.186293
22,t114,C=[SH]C1CNC1,103.186863
23,t114,C=[S+]C1CNC1,102.178916
24,t114,[H]C=[S+]C1CNC1,102.178916
25,t114,[SH2]=CC1CNC1,103.186863
26,t114,C=[S+]N1CCCC1,116.20559
27,t114,C=[SH]N1CCCC1,117.213537
28,t114,[SH2]=CN1CCCC1,117.213537
29,t114,[SH+]=CN1CCCC1,116.20559
30,t114,C=[S+]C1CCN=CN1,129.204363
31,t114,C=[SH]C1CCN=CN1,130.21231
32,t114,C=[S+]C1C=CCCN1,128.21636999999998
33,t114,C=[SH]C1C=CCCN1,129.22431699999999
34,t114,C=[S+]C1=NCC=C1,112.173802
35,t114,C=[SH]C1CC=CCC1,128.236324
36,t114,C=[SH]C1CC=CCC1,128.236324
37,t114,C=[SH]N1CSCC1=O,149.235899
38,t114,C=[SH]C1CC=CCC1,128.236324
39,t114,C=[S+]C1=CCCCC1,127.228377
40,t114,C=[SH]C1=CCCCC1,128.236324
41,t114,C=[SH]N1CCCC1=O,131.197073
42,t114,C=[S+]N1CCCC1=O,130.189126
43,t114,C=[S+]C1CCCNC1,130.232264
44,t114,[SH+]=CC1CCCNC1,130.232264
45,t114,C=[SH]C1CCCNC1,131.240211
46,t114,[SH+]=CC1CCNCC1,130.232264
47,t114,C=[SH]C1CCNCC1,131.240211
48,t114,C=[S+]C1CCNCC1,130.232264
49,t114,C=[S+]C1OCCO1,119.163109
50,t114,[SH+]=CC1OCCO1,119.163109
51,t114,C=[SH]C1OCCO1,120.17105600000001
52,t114,[SH2]=CC1OCCO1,120.17105600000001
53,t114,C=[SH]C1CCCC1,116.225544
54,t114,C=[S+]C1CCCC1,115.217597
55,t114,[SH2]=CC1CCCC1,116.225544
56,t114,[SH+]=CC1CCCC1,115.217597
57,t114,[SH+]=CC1CCCCO1,131.217027
58,t114,[SH2]=CC1CCCCO1,132.224974
59,t114,C=[S+]C1CCCCO1,131.217027
60,t114,C=[SH]C1CCCCO1,132.224974
61,t114,[SH+]=CC1CNC=N1,115.177689
62,t114,C=[SH]C1CNC=N1,116.185636
63,t114,[SH2]=CC1CNC=N1,116.185636
64,t114,C=[S+]C1CNC=N1,115.177689
65,t114,[SH+]=CC1CCCCO1,131.217027
66,t114,[SH2]=CC1CCCCO1,132.224974
67,t114,C=[S+]C1CCCCO1,131.217027
68,t114,C=[SH]C1CCCCO1,132.224974
69,t114,C=[S+]C1CCCNC1,130.232264
70,t114,[SH+]=CC1CCCNC1,130.232264
71,t114,C=[SH]C1CCCNC1,131.240211
72,t114,[SH2]=CN1CCSCC1,149.27903700000002
73,t114,C=[S+]N1CCSCC1,148.27109000000002
74,t114,[SH+]=CN1CCSCC1,148.27109000000002
75,t114,C=[SH]N1CCSCC1,149.27903700000002
76,t114,[SH2]=CN1CCNCC1,132.228204
77,t114,C=[SH]N1CCNCC1,132.228204
78,t114,C=[S+]N1CCNCC1,131.220257
79,t114,[SH+]=CN1CCNCC1,131.220257
80,t114,[SH+]=CC1CCNCC1,130.232264
81,t114,C=[SH]C1CCNCC1,131.240211
82,t114,C=[S+]C1CCNCC1,130.232264
83,t114,C=[SH]C1CNCCN1,132.228204
84,t114,[SH2]=CC1CNCCN1,132.228204
85,t114,C=[S+]C1CNCCN1,131.220257
86,t114,[SH+]=CC1CNCCN1,131.220257
87,t114,C=[SH]C1CC(F)C1,120.18932625
88,t114,C=[S+]C1CC(F)C1,119.18137924999999
89,t114,C=[SH]C1CCC=CO1,130.20908
90,t114,C=[S+]C1CCC=CO1,129.201133
91,t114,C=[SH]C1CNCCN1,132.228204
92,t114,[SH2]=CC1CNCCN1,132.228204
93,t114,C=[S+]C1CNCCN1,131.220257
94,t114,[SH+]=CC1CNCCN1,131.220257
95,t114,C=[S+]C1CCCCN1,130.232264
96,t114,[SH+]=CC1CCCCN1,130.232264
97,t114,[SH2]=CC1CCCCN1,131.240211
98,t114,C=[SH]C1CCCCN1,131.240211
99,t114,[SH2]=CC1CCCCC1,130.252218
100,t114,C=[S+]C1CCCCC1,129.244271
101,t114,C=[SH]C1CCCCC1,130.252218
102,t114,[SH+]=CC1CCCCC1,129.244271
103,t114,C=[S+]C1CCCCN1,130.232264
104,t114,[SH+]=CC1CCCCN1,130.232264
105,t114,[SH2]=CC1CCCCN1,131.240211
106,t114,C=[SH]C1CCCCN1,131.240211
107,t114,C=[SH]N1CCCCC1,131.240211
108,t114,C=[S+]N1CCCCC1,130.232264
109,t114,[SH2]=CN1CCCCC1,131.240211
110,t114,[SH2]=CC1CCCCC1,130.252218
111,t114,C=[S+]C1CCCCC1,129.244271
112,t114,C=[SH]C1CCCCC1,130.252218
113,t114,[SH+]=CC1CCCCC1,129.244271
114,t114,C=[S+]C1CCCNC1,130.232264
115,t114,[SH+]=CC1CCCNC1,130.232264
116,t114,C=[SH]C1CCCNC1,131.240211
117,t114,C=[SH]C1CNCCN1,132.228204
118,t114,[SH2]=CC1CNCCN1,132.228204
119,t114,C=[S+]C1CNCCN1,131.220257
120,t114,[SH+]=CC1CNCCN1,131.220257
121,t114,[SH2]=CC1CCCCC1,130.252218
122,t114,C=[S+]C1CCCCC1,129.244271
123,t114,C=[SH]C1CCCCC1,130.252218
124,t114,[SH+]=CC1CCCCC1,129.244271
125,t114,C=[SH]C1CC=COC1,130.20908
126,t114,C=[S+]C1CNCCCS1,162.297764
127,t114,C=[SH]C1CNCCCS1,163.305711
128,t114,C=[SH]C1CNCCN1,132.228204
129,t114,[SH2]=CC1CNCCN1,132.228204
130,t114,C=[S+]C1CNCCN1,131.220257
131,t114,[SH+]=CC1CNCCN1,131.220257
132,t114,[SH+]=CN1CCC=N1,115.177689
133,t114,C=[S+]N1CCC=N1,115.177689
134,t114,C=[SH]N1CCC=N1,116.185636
135,t114,C=[S+]C1CCCNC1,130.232264
136,t114,[SH+]=CC1CCCNC1,130.232264
137,t114,C=[SH]C1CCCNC1,131.240211
138,t114,C=[S+]CC#CC#CC,123.19658899999999
139,t114,CC#CC#CCC=[SH+],123.196589
140,t114,C=[SH]CC#CC#CC,124.20453599999999
141,t114,CC#CC#CCC=[SH2],124.204536
142,t114,[SH2]=CN1CCCO1,119.186293
143,t114,[SH+]=CN1CCCO1,118.178346
144,t114,C=[SH]N1CCCO1,119.186293
145,t114,C=[S+]N1CCCO1,118.178346
146,t114,C=[S+]N1CCCC1,116.20559
147,t114,C=[SH]N1CCCC1,117.213537
148,t114,[SH2]=CN1CCCC1,117.213537
149,t114,[SH+]=CN1CCCC1,116.20559
150,t114,[SH+]=CC1CCNCC1,130.232264
151,t114,C=[SH]C1CCNCC1,131.240211
152,t114,C=[S+]C1CCNCC1,130.232264
153,t114,C=[S+]C1=COCCC1,129.201133
154,t114,C=[SH]C1=COCCC1,130.20908
155,t114,C=[S+]C1CC=CCN1,128.21636999999998
156,t114,C=[SH]C1CC=CCN1,129.22431699999999
157,t114,[SH2]=CC1=CCCO1,116.182406
158,t114,[SH+]=CC1=CCCO1,115.174459
159,t114,C=[S+]C1=CCCO1,115.174459
160,t114,C=[SH]C1=CCCO1,116.182406
161,t114,C=[SH]N1CCCCC1,131.240211
