,parameter_id,smiles,mw
0,t112,[H][O+]=CC=C1CC=COC1,125.145843
1,t112,[H][O+]=CC1CCCNC1,114.166194
2,t112,[H]C=[O+]C1CCCNC1,114.166194
3,t112,[H]C=[O+]C=C1CCCCC1,125.188981
4,t112,[H][O+]=CC=C1CCCCC1,125.188981
5,t112,[H]C=[O+]C1CCCCC1,113.178201
6,t112,[H][O+]=CC1CCCCC1,113.178201
7,t112,[H][O+]=C[C@H]1CCNC1,100.13952
8,t112,[H][O+]=CC1=NCNC=N1,112.110392
9,t112,[H]C=[O+]C1=NCNC=N1,112.110392
10,t112,[H][O+]=CC1CCCN1,100.13952
11,t112,c1cc(C2CCCN2)cc[o+]1,150.198534
12,t112,[H]C=[O+]C1CCCN1,100.13952
13,t112,c1cc(C2CCOC2)cc[o+]1,151.183297
14,t112,[H][O+]=CC1CCOC1,101.124283
15,t112,c1c[o+]cc(C2CCOC2)c1,151.183297
16,t112,[H]C=[O+]C1CCOC1,101.124283
17,t112,[H][O+]=CC1OCCCO1,117.12371300000001
18,t112,[H]C=[O+]C1OCCCO1,117.12371300000001
19,t112,c1cc(C2CNC2)cc[o+]1,136.17186
20,t112,[H][O+]=CC1CNC1,86.112846
21,t112,c1ccc(C2CNC2)[o+]c1,136.17186
22,t112,[H]C=[O+]C1CNC1,86.112846
23,t112,c1ccc(N2CCCC2)[o+]c1,150.19853400000002
24,t112,[H][O+]=CN1CCCC1,100.13952
25,t112,[H]C=[O+]N1CCCC1,100.13952
26,t112,[H][O+]=CC1CCN=CN1,113.138293
27,t112,[H]C=[O+]C1CCN=CN1,113.138293
28,t112,[H]C=[O+]C1C=CCCN1,112.1503
29,t112,[H][O+]=CC1C=CCCN1,112.1503
30,t112,[H][O+]=CC1=NCC=C1,96.107732
31,t112,[H]C=[O+]C1=NCC=C1,96.107732
32,t112,[H]C=[O+]C1CCC=CCC1,125.188981
33,t112,[H][O+]=CC1CCC=CCC1,125.188981
34,t112,[H]C=[O+]C1CC=CCC1,111.162307
35,t112,[H][O+]=CC1CC=CCC1,111.162307
36,t112,[H]C=[O+]C1CC=CCC1,111.162307
37,t112,[H][O+]=CC1CC=CCC1,111.162307
38,t112,[H][O+]=CN1CSCC1=O,132.161882
39,t112,[H]C=[O+]N1CSCC1=O,132.161882
40,t112,[H][O+]=CC1C=CCCC1,111.162307
41,t112,[H]C=[O+]C1C=CCCC1,111.162307
42,t112,[H]C=[O+]C1CC=CCC1,111.162307
43,t112,[H][O+]=CC1CC=CCC1,111.162307
44,t112,[H][O+]=CC1=CCCCC1,111.162307
45,t112,[H]C=[O+]C1=CCCCC1,111.162307
46,t112,O=C1CCCN1c1cccc[o+]1,164.18206999999998
47,t112,[H]C=[O+]N1CCCC1=O,114.123056
48,t112,O=C1CCCN1c1cc[o+]cc1,164.18207
49,t112,[H][O+]=CN1CCCC1=O,114.123056
50,t112,[H][O+]=CC1CCCNC1,114.166194
51,t112,[H]C=[O+]C1CCCNC1,114.166194
52,t112,[H][O+]=CC1CCNCC1,114.166194
53,t112,[H]C=[O+]C1CCNCC1,114.166194
54,t112,[H][O+]=CC1OCCO1,103.09703900000001
55,t112,[H]C=[O+]C1OCCO1,103.09703900000001
56,t112,[H]C=[O+]C1CCCC1,99.151527
57,t112,[H][O+]=CC1CCCC1,99.151527
58,t112,[H]C=[O+]C1CCCCO1,115.150957
59,t112,[H][O+]=CC1CCCCO1,115.150957
60,t112,[H]C=[O+]C1CNC=N1,99.111619
61,t112,[H][O+]=CC1CNC=N1,99.111619
62,t112,[H]C=[O+]C1CC=CNC1=O,126.133836
63,t112,[H][O+]=CC1CC=CNC1=O,126.133836
64,t112,[H]C=[O+]C1CCCCO1,115.150957
65,t112,[H][O+]=CC1CCCCO1,115.150957
66,t112,[H][O+]=CN1CCCCCC1=O,142.176404
67,t112,[H][O+]=CC1CCCNC1,114.166194
68,t112,[H]C=[O+]C1CCCNC1,114.166194
69,t112,[H]C=[O+]N1CCSCC1,132.20502
70,t112,[H][O+]=CN1CCSCC1,132.20502
71,t112,[H][O+]=CN1CCNCC1,115.15418700000001
72,t112,[H]C=[O+]N1CCNCC1,115.15418700000001
73,t112,[H][O+]=CC1CCNCC1,114.166194
74,t112,[H]C=[O+]C1CCNCC1,114.166194
75,t112,[H]C=[O+][C@H]1CC1Br,149.99433199999999
76,t112,[H][O+]=CC1CNCCN1,115.15418700000001
77,t112,[H]C=[O+]C1CNCCN1,115.15418700000001
78,t112,[H][O+]=CC1CC(F)C1,103.11530925
79,t112,[H]C=[O+]C1CC(F)C1,103.11530925
80,t112,FC1CC(c2cc[o+]cc2)C1,153.17432325000001
81,t112,FC1CC(c2cccc[o+]2)C1,153.17432325000001
82,t112,[H][O+]=CC1CCC=CO1,113.135063
