,parameter_id,smiles,mw
0,t129,c1nonc1C1CCCN1,139.155793
1,t129,c1nocc1C1CCCN1,138.1678
2,t129,c1onnc1C1CCCN1,139.155793
3,t129,c1nonc1C1CCOC1,140.140556
4,t129,c1nocc1C1CCOC1,139.15256300000001
5,t129,c1nnoc1C1CCOC1,140.140556
6,t129,C1NCC1c1nnon1,126.117112
7,t129,c1nnoc1C1CNC1,125.129119
8,t129,C1=NOCN1C1CNC1,127.145013
9,t129,c1nonc1C1CNC1,125.129119
10,t129,c1nocc1C1CNC1,124.141126
11,t129,c1onnc1C1CNC1,125.129119
12,t129,C1=NOCC1C1CNC1,126.15702
13,t129,Ic1cnoc1C1CNC1,250.03765200000007
14,t129,c1onnc1N1CCCC1,139.15579300000002
15,t129,c1nnoc1N1CCCC1,139.15579300000002
16,t129,c1nocc1C1OCCO1,141.125319
17,t129,c1onnc1C1OCCO1,142.113312
18,t129,c1nnoc1C1OCCO1,142.113312
19,t129,c1onnc1C1CCCC1,138.1678
20,t129,c1onnc1N1CCCC1,139.15579300000002
21,t129,c1nnoc1N1CCCC1,139.15579300000002
22,t129,c1nonc1C1CCOC1,140.140556
23,t129,c1nocc1C1CCOC1,139.15256300000001
24,t129,c1nnoc1C1CCOC1,140.140556
25,t129,c1nonc1C1CCCO1,140.140556
26,t129,c1nonc1C1CCOC1,140.140556
27,t129,c1nocc1C1CCOC1,139.15256300000001
28,t129,c1nnoc1C1CCOC1,140.140556
29,t129,c1onnc1C1CCCC1,138.1678
30,t129,c1onnc1C1CCCC1,138.1678
31,t129,c1nonc1C1CCCO1,140.140556
32,t129,c1nnoc1C1NCCS1,157.194619
33,t129,c1nonc1C1CCCO1,140.140556
34,t129,c1nocc1C1NCCO1,140.140556
35,t129,c1nonc1C1NCCO1,141.128549
36,t129,c1nonc1C1CCNC1,139.15579300000002
37,t129,c1nonc1C1CCNC1,139.15579300000002
38,t129,c1nonc1C1CCCN1,139.155793
39,t129,c1nocc1C1CCCN1,138.1678
40,t129,c1onnc1C1CCCN1,139.155793
41,t129,c1nonc1C1CCNC1,139.15579300000002
42,t129,c1onnc1N1CCOC1,141.12854900000002
43,t129,c1nnoc1N1CCOC1,141.12854900000002
44,t129,c1onnc1C1CCCC1,138.1678
45,t129,Clc1cnoc1C1CC1,143.57171200000002
46,t129,c1cc(C2CC2)no1,109.12645900000001
47,t129,C1=NOCC1C1CC1,111.142353
48,t129,c1nonc1C1CC1,110.114452
49,t129,Clc1oncc1C1CC1,143.57171200000002
50,t129,N=c1oncn1C1CC1,125.129119
51,t129,Ic1conc1C1CC1,235.02298500000006
52,t129,Ic1cnoc1C1CC1,235.02298500000006
53,t129,c1nocc1C1CC1,109.126459
54,t129,c1nc(C2CC2)no1,110.114452
55,t129,C1=NOSN1C1CC1,130.169172
56,t129,Fc1conc1C1CC1,127.11691525
57,t129,Fc1cnoc1C1CC1,127.11691525
58,t129,c1nnoc1C1CC1,110.114452
59,t129,C1=NONC1C1CC1,112.130346
60,t129,C1CC1C1=NOSN1,130.169172
61,t129,Brc1cnoc1C1CC1,188.02261200000004
62,t129,C1CC1c1nnon1,111.10244500000002
63,t129,C1NON=C1C1CC1,112.130346
64,t129,C1=NOCN1C1CC1,112.130346
65,t129,c1onnc1C1CC1,110.114452
66,t129,C1NCC1c1nnon1,126.117112
67,t129,c1nnoc1C1CNC1,125.129119
68,t129,C1=NOCN1C1CNC1,127.145013
69,t129,c1nonc1C1CNC1,125.129119
70,t129,c1nocc1C1CNC1,124.141126
71,t129,c1onnc1C1CNC1,125.129119
72,t129,C1=NOCC1C1CNC1,126.15702
73,t129,Ic1cnoc1C1CNC1,250.03765200000007
74,t129,Cc1ncnc2oncc12,135.124005
75,t129,Pc1ncnc2oncc12,153.07904020000004
76,t129,c1nonc1C1CCC1,124.141126
77,t129,c1nnoc1C1CCC1,124.141126
78,t129,C1=NOCN1C1CCC1,126.15702
79,t129,c1onnc1C1CCC1,124.141126
80,t129,c1nocc1C1CCC1,123.153133
81,t129,c1onnc1N1CCCC1,139.15579300000002
82,t129,c1nnoc1N1CCCC1,139.15579300000002
83,t129,NN1CC2C=NOC2C1,127.145013
84,t129,CN1CC2C=NOC2C1,126.15702
85,t129,PN1CC2C=NOC2C1,144.11205520000001
86,t129,Nc1noc2cncnc12,136.111998
87,t129,Pc1noc2cncnc12,153.0790402
88,t129,Fc1conc1C1CCN1,142.13158225
89,t129,c1nocc1C1CCN1,124.141126
90,t129,c1nonc1C1CCN1,125.129119
91,t129,c1nnoc1C1CCN1,125.129119
92,t129,c1onnc1C1CCN1,125.129119
93,t129,Fc1cnoc1N1CC1,128.10490825
94,t129,C1=NONC1N1CC1,113.118339
95,t129,c1nocc1N1CC1,110.114452
96,t129,Ic1cnoc1N1CC1,236.01097800000005
97,t129,Ic1conc1N1CC1,236.01097800000005
98,t129,Clc1nonc1N1CC1,145.54769800000003
99,t129,Brc1conc1N1CC1,189.01060500000003
100,t129,c1onnc1N1CC1,111.102445
101,t129,C1=NOCN1N1CC1,113.118339
102,t129,C1=NOCC1N1CC1,112.130346
103,t129,Fc1conc1N1CC1,128.10490825
104,t129,C1NON=C1N1CC1,113.118339
105,t129,c1nnoc1N1CC1,111.102445
106,t129,C1=NOSN1N1CC1,131.157165
107,t129,c1nonc1N1CC1,111.102445
108,t129,Clc1oncc1N1CC1,144.559705
109,t129,C1CN1c1nnon1,112.09043800000002
110,t129,C1CN1C1=NOSN1,131.15716500000002
111,t129,C1NCC1c1nnon1,126.117112
112,t129,c1nnoc1C1CNC1,125.129119
113,t129,C1=NOCN1C1CNC1,127.145013
114,t129,c1nonc1C1CNC1,125.129119
115,t129,c1nocc1C1CNC1,124.141126
116,t129,c1onnc1C1CNC1,125.129119
117,t129,C1=NOCC1C1CNC1,126.15702
118,t129,Ic1cnoc1C1CNC1,250.03765200000007
119,t129,Cc1cccc2cnoc12,133.148019
120,t129,Sc1cccc2cnoc12,151.186845
121,t129,Cc1cccc2oncc12,133.148019
122,t129,Pc1cccc2oncc12,151.10305420000003
123,t129,Oc1cccc2oncc12,135.120775
124,t129,Nc1cccc2oncc12,134.136012
125,t129,c1nonc1C1CCCN1,139.155793
126,t129,c1nocc1C1CCCN1,138.1678
127,t129,c1onnc1C1CCCN1,139.155793
128,t129,c1onnc1C1CCCC1,138.1678
129,t129,PC12CNCC1C=NO2,144.11205520000001
130,t129,SC12CNCC1C=NO2,144.195846
131,t129,PC1OCC2C=NOC21,145.0968182
132,t129,OC1OCC2C=NOC21,129.114539
133,t129,SC1OCC2C=NOC21,145.180609
134,t129,Cc1ccnc2oncc12,134.13601200000002
135,t129,Nc1ccnc2oncc12,135.124005
136,t129,c1nonc1C1CCC1,124.141126
137,t129,c1nnoc1C1CCC1,124.141126
138,t129,C1=NOCN1C1CCC1,126.15702
139,t129,c1onnc1C1CCC1,124.141126
140,t129,c1nocc1C1CCC1,123.153133
141,t129,Sc1cc2cnoc2cn1,152.174838
142,t129,Pc1cc2cnoc2cn1,152.09104720000002
143,t129,c1onnc1C1CCCC1,138.1678
144,t129,c1onnc1C1CCCC1,138.1678
145,t129,Clc1cnoc1C1CC1,143.57171200000002
146,t129,c1cc(C2CC2)no1,109.12645900000001
147,t129,C1=NOCC1C1CC1,111.142353
148,t129,c1nonc1C1CC1,110.114452
149,t129,Clc1oncc1C1CC1,143.57171200000002
150,t129,N=c1oncn1C1CC1,125.129119
151,t129,Ic1conc1C1CC1,235.02298500000006
152,t129,Ic1cnoc1C1CC1,235.02298500000006
153,t129,c1nocc1C1CC1,109.126459
154,t129,c1nc(C2CC2)no1,110.114452
155,t129,C1=NOSN1C1CC1,130.169172
156,t129,Fc1conc1C1CC1,127.11691525
157,t129,Fc1cnoc1C1CC1,127.11691525
158,t129,c1nnoc1C1CC1,110.114452
159,t129,C1=NONC1C1CC1,112.130346
160,t129,C1CC1C1=NOSN1,130.169172
161,t129,Brc1cnoc1C1CC1,188.02261200000004
162,t129,C1CC1c1nnon1,111.10244500000002
163,t129,C1NON=C1C1CC1,112.130346
164,t129,C1=NOCN1C1CC1,112.130346
165,t129,c1onnc1C1CC1,110.114452
166,t129,NC1=NOC2CCCC12,126.15702
167,t129,PC1=NOC2CCCC12,143.1240622
168,t129,PC1CC2C=NOC2C1,143.12406220000003
169,t129,SC1CCCc2cnoc21,155.218633
170,t129,NC1CCCc2cnoc21,138.1678
171,t129,c1onnc1C1CCCC1,138.1678
172,t129,c1onnc1N1CCC1,125.129119
173,t129,Ic1conc1N1CCC1,250.03765200000007
174,t129,C1=NOCN1N1CCC1,127.145013
175,t129,c1nnoc1N1CCC1,125.129119
176,t129,c1nonc1N1CCC1,125.129119
177,t129,c1nocc1N1CCC1,124.141126
178,t129,C1=NOCC1N1CCC1,126.15702
179,t129,Oc1noc2ccccc12,135.120775
180,t129,Nc1noc2ccccc12,134.136012
181,t129,Cc1noc2ccccc12,133.14801899999998
182,t129,c1onnc1C1CCCS1,156.206626
183,t129,NC1OCC2ON=CC12,128.129776
184,t129,OC1OCC2ON=CC12,129.114539
185,t129,CC#CCc1cnno1,122.12523200000001
186,t129,CC#CCC1CC=NO1,123.15313300000001
187,t129,CC#CCC1C=NON1,124.14112600000001
188,t129,CC#CCc1cnoc1,121.13723900000001
189,t129,CC#CCc1nocc1F,139.12769525000002
190,t129,CC#CCc1nocc1Br,200.033392
191,t129,CC#CCc1nnon1,123.11322500000001
192,t129,CC#CCC1=NOCN1,124.14112600000001
193,t129,CC#CCN1C=NOC1,124.14112600000001
194,t129,CC#CCN1C=NOS1,142.17995200000001
195,t129,CC#CCC1=NOCC1,123.15313300000001
196,t129,CC#CCc1oncc1F,139.12769525000002
197,t129,CC#CCc1ccon1,121.13723900000001
198,t129,CC#CCC1NC=NO1,124.14112600000001
199,t129,CC#CCC1OC=NO1,125.12588900000002
200,t129,CC#CCc1ccno1,121.13723900000001
201,t129,CC#CCC1=NOCO1,125.12588900000002
202,t129,CC#CCc1oncc1I,247.03376500000002
203,t129,CC#CCC1=NONC1,124.14112600000001
204,t129,CC#CCc1conn1,122.12523200000001
205,t129,CC#CCC1C=NOC1,123.15313300000001
206,t129,CC#CCc1cnon1,122.12523200000001
207,t129,CC#CCc1conc1Cl,155.582492
208,t129,CC#CCc1nocc1I,247.03376500000002
209,t129,CC#CCC1=NOSN1,142.17995200000001
210,t129,CC#CCc1ncon1,122.12523200000001
211,t129,CC#CCn1cnoc1=O,138.124662
212,t129,CC#CCc1ncno1,122.12523200000001
213,t129,c1nonc1C1CCC1,124.141126
214,t129,c1nnoc1C1CCC1,124.141126
215,t129,C1=NOCN1C1CCC1,126.15702
216,t129,c1onnc1C1CCC1,124.141126
217,t129,c1nocc1C1CCC1,123.153133
218,t129,c1onnc1N1CCC1,125.129119
219,t129,Ic1conc1N1CCC1,250.03765200000007
220,t129,C1=NOCN1N1CCC1,127.145013
221,t129,c1nnoc1N1CCC1,125.129119
222,t129,c1nonc1N1CCC1,125.129119
223,t129,c1nocc1N1CCC1,124.141126
224,t129,C1=NOCC1N1CCC1,126.15702
225,t129,c1nonc1C1CCC1,124.141126
226,t129,c1nnoc1C1CCC1,124.141126
227,t129,C1=NOCN1C1CCC1,126.15702
228,t129,c1onnc1C1CCC1,124.141126
229,t129,c1nocc1C1CCC1,123.153133
230,t129,Nc1noc2cnccc12,135.124005
231,t129,Oc1noc2cnccc12,136.108768
232,t129,Cc1cccc2cnoc12,133.148019
233,t129,Sc1cccc2cnoc12,151.186845
234,t129,c1onnc1N1CCC1,125.129119
235,t129,Ic1conc1N1CCC1,250.03765200000007
236,t129,C1=NOCN1N1CCC1,127.145013
237,t129,c1nnoc1N1CCC1,125.129119
238,t129,c1nonc1N1CCC1,125.129119
239,t129,c1nocc1N1CCC1,124.141126
240,t129,C1=NOCC1N1CCC1,126.15702
241,t129,C1NCC1c1nnon1,126.117112
242,t129,c1nnoc1C1CNC1,125.129119
243,t129,C1=NOCN1C1CNC1,127.145013
244,t129,c1nonc1C1CNC1,125.129119
245,t129,c1nocc1C1CNC1,124.141126
246,t129,c1onnc1C1CNC1,125.129119
247,t129,C1=NOCC1C1CNC1,126.15702
248,t129,Ic1cnoc1C1CNC1,250.03765200000007
249,t129,Oc1noc2ccccc12,135.120775
250,t129,Nc1noc2ccccc12,134.136012
251,t129,Cc1noc2ccccc12,133.14801899999998
252,t129,Fc1cnoc1N1CC1,128.10490825
253,t129,C1=NONC1N1CC1,113.118339
254,t129,c1nocc1N1CC1,110.114452
255,t129,Ic1cnoc1N1CC1,236.01097800000005
256,t129,Ic1conc1N1CC1,236.01097800000005
257,t129,Clc1nonc1N1CC1,145.54769800000003
258,t129,Brc1conc1N1CC1,189.01060500000003
259,t129,c1onnc1N1CC1,111.102445
260,t129,C1=NOCN1N1CC1,113.118339
261,t129,C1=NOCC1N1CC1,112.130346
262,t129,Fc1conc1N1CC1,128.10490825
263,t129,C1NON=C1N1CC1,113.118339
264,t129,c1nnoc1N1CC1,111.102445
265,t129,C1=NOSN1N1CC1,131.157165
266,t129,c1nonc1N1CC1,111.102445
267,t129,Clc1oncc1N1CC1,144.559705
268,t129,C1CN1c1nnon1,112.09043800000002
269,t129,C1CN1C1=NOSN1,131.15716500000002
270,t129,CC#CCc1cnno1,122.12523200000001
271,t129,CC#CCC1CC=NO1,123.15313300000001
272,t129,CC#CCC1C=NON1,124.14112600000001
273,t129,CC#CCc1cnoc1,121.13723900000001
274,t129,CC#CCc1nocc1F,139.12769525000002
275,t129,CC#CCc1nocc1Br,200.033392
